IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,fossil_bio,Substance,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Non-Annex_I,Western_Africa,NGA,Nigeria,2.A.1,Cement production,fossil,CO2,2001,81.84842614,79.8578339,83.13830406,84.98628191,84.39303855,85.01733632,81.82140766,79.81680475,83.10671368,84.97890787,84.40070755,85.03423761
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.3.c,Railways,fossil,CO2,2001,6.96052567,7.057343877,7.217459047,7.511894134,7.425181677,7.142750596,6.96052567,7.057343877,7.217459047,7.511894134,7.425181677,7.142750596
Non-Annex_I,Western_Africa,NGA,Nigeria,2.A.3,Glass Production,fossil,CO2,2001,0.516483564,0.503882787,0.524600903,0.536321698,0.532608282,0.536562943,0.516414706,0.503795799,0.524538452,0.536305362,0.532628523,0.53660698
Non-Annex_I,Western_Africa,NGA,Nigeria,2.D,Non-Energy Products from Fuels and Solvent Use,fossil,CO2,2001,69.85279027,69.46190575,71.92909466,73.11729347,70.92418225,70.82130948,69.86876365,69.4747662,71.93897568,73.11904152,70.9175365,70.80638431
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.1.a,Main Activity Electricity and Heat Production,fossil,CO2,2001,528.3391291,509.1417083,521.3454108,498.8608645,518.0790484,517.7571859,535.152184,540.5615203,520.1451807,522.5601745,505.8940346,511.720745
Non-Annex_I,Western_Africa,NGA,Nigeria,3.C.1,Emissions from biomass burning,bio,CO2,2002,389.7349409,548.5968042,1549.475431,2136.574765,1408.400584,670.4982855,388.6436879,547.1992965,1547.681572,2134.006557,1406.567478,670.7286698
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.4,Residential and other sectors,bio,CO2,2002,23895.8203,23895.8203,23895.8203,23895.8203,23895.8203,23895.8203,23895.8203,23895.8203,23895.8203,23895.8203,23895.8203,23895.8203
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.2,Manufacturing Industries and Construction,bio,CO2,2002,819.6190749,799.6364525,832.5167475,851.1018818,845.2068729,851.4841552,819.5083764,799.4762639,832.3953686,851.0726844,845.2384931,851.5540287
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.3.d,Water-borne Navigation,fossil,CO2,2002,7.486570223,7.486570223,7.486570223,7.486570223,7.486570223,7.486570223,7.486570223,7.486570223,7.486570223,7.486570223,7.486570223,7.486570223
Non-Annex_I,Western_Africa,NGA,Nigeria,1.B.1,Solid Fuels,fossil,CO2,2002,0.018594564,0.018594564,0.018594564,0.018594564,0.018594564,0.018594564,0.018594564,0.018594564,0.018594564,0.018594564,0.018594564,0.018594564
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.5,Non-Specified,fossil,CO2,2002,46.71342981,46.71342981,46.71342981,46.71342981,46.71342981,46.71342981,46.71342981,46.71342981,46.71342981,46.71342981,46.71342981,46.71342981
Non-Annex_I,Western_Africa,NGA,Nigeria,3.C.2,Liming,fossil,CO2,2002,0.216686977,0.305038505,0.862234271,1.188919728,0.783690112,0.373420367,0.216686977,0.305038505,0.862234271,1.188919728,0.783690112,0.373420367
Non-Annex_I,Western_Africa,NGA,Nigeria,2.A.3,Glass Production,fossil,CO2,2002,0.529726102,0.516802244,0.538051568,0.550072882,0.546264254,0.550320312,0.529655479,0.516713025,0.537987516,0.550056127,0.546285014,0.550365479
Non-Annex_I,Western_Africa,NGA,Nigeria,1.B.2,Oil and Natural Gas,fossil,CO2,2002,3471.006052,3471.006052,3471.006052,3471.006052,3471.006052,3471.006052,3471.006052,3471.006052,3471.006052,3471.006052,3471.006052,3471.006052
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.3.e,Other Transportation,fossil,CO2,2002,54.10925024,54.8693269,56.12007912,58.4095424,57.74535146,55.56316139,54.15301869,54.89917635,56.13745776,58.42539239,57.74197225,55.53315102
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.1.a,Main Activity Electricity and Heat Production,fossil,CO2,2002,610.5160096,564.1188388,601.8015894,578.7581159,580.4181131,594.1930501,612.905368,625.9320041,592.9806141,586.1061675,575.2462955,581.1711524
Non-Annex_I,Western_Africa,NGA,Nigeria,3.C.3,Urea application,fossil,CO2,2002,2.734213845,3.849040158,10.8796305,15.00173937,9.88858741,4.711705148,2.734017062,3.848801742,10.87937514,15.00136866,9.888302052,4.711772173
Non-Annex_I,Western_Africa,NGA,Nigeria,2.B,Chemical Industry,fossil,CO2,2002,106.59193,103.9899305,108.2689079,110.6919122,109.9292496,110.7480698,106.59193,103.9899305,108.2689079,110.6919122,109.9292496,110.7480698
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.3.c,Railways,fossil,CO2,2002,7.218322917,7.318726983,7.484772345,7.790112435,7.700188405,7.407296915,7.218322917,7.318726983,7.484772345,7.790112435,7.700188405,7.407296915
Non-Annex_I,Western_Africa,NGA,Nigeria,2.D,Non-Energy Products from Fuels and Solvent Use,fossil,CO2,2002,71.16187875,70.7783963,73.30743812,74.50111689,72.2621012,72.15762169,71.17821925,70.79155233,73.31754625,74.50290511,72.25530271,72.14235349
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,fossil,CO2,2002,665.9700225,645.0509052,638.4784289,666.3464085,660.6002883,659.633055,665.9700225,645.0509052,638.4784289,666.3464085,660.6002883,659.633055
Non-Annex_I,Western_Africa,NGA,Nigeria,2.A.4,Other Process Uses of Carbonates,fossil,CO2,2002,1.188094761,1.159092359,1.206786688,1.233793974,1.225293186,1.234419918,1.188094761,1.159092359,1.206786688,1.233793974,1.225293186,1.234419918
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.3.b_noRES,Road Transportation no resuspension,fossil,CO2,2002,2143.397022,2173.242076,2222.574522,2313.231896,2286.56686,2199.651714,2143.544524,2173.340737,2222.635516,2313.292161,2286.55485,2199.541441
Non-Annex_I,Western_Africa,NGA,Nigeria,2.C,Metal Industry,fossil,CO2,2002,0.052638597,0.051353644,0.053466744,0.054663303,0.054286675,0.054691036,0.052638597,0.051353644,0.053466744,0.054663303,0.054286675,0.054691036
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.4,Residential and other sectors,fossil,CO2,2002,417.2170117,417.2170117,417.2170117,417.2170117,417.2170117,417.2170117,417.2170117,417.2170117,417.2170117,417.2170117,417.2170117,417.2170117
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.2,Manufacturing Industries and Construction,fossil,CO2,2002,225.7219407,220.2160438,229.2736313,234.3969563,232.7768065,234.507611,225.7034699,220.1893152,229.2533784,234.3920845,232.7820825,234.5192699
Non-Annex_I,Western_Africa,NGA,Nigeria,2.A.1,Cement production,fossil,CO2,2002,71.61737287,69.87560467,72.74601605,74.36299667,73.84390873,74.39016928,71.5937317,69.83970415,72.71837447,74.35654439,73.85061911,74.40495791
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.4,Residential and other sectors,bio,CO2,2003,24533.93524,24533.93524,24533.93524,24533.93524,24533.93524,24533.93524,24533.93524,24533.93524,24533.93524,24533.93524,24533.93524,24533.93524
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.2,Manufacturing Industries and Construction,bio,CO2,2003,908.8445335,886.686749,923.1462955,943.754299,937.217316,944.1778141,908.7209497,886.5079145,923.0107881,943.7217031,937.2526167,944.2558208
Non-Annex_I,Western_Africa,NGA,Nigeria,3.C.1,Emissions from biomass burning,bio,CO2,2003,403.8123097,568.4123217,1605.443051,2213.748628,1459.272529,694.7169292,402.6816403,566.9643356,1603.584397,2211.087655,1457.373211,694.9556351
